id,smaas,group,yoga,meditation,t_oad,t_pad,t_nad,c_oad,c_pad,c_nad,c_pa_nad,t_happy,t_excited,t_relaxed,t_satisfied,t_angry,t_anxious,t_depressed,t_sad,mind,both_mind,gm_smaas,gc_smaas,group_mind,smaas_mind,group_both_mind,smaas_both_mind
84,2.8848798,1,1,1,.10538435,.12497991,.085788794,.13582692,.24248363,.19456618,.073803425,.12625363,.13749397,.13175716,.1044149,.075139292,.085285358,.089744046,.092986487,0,0,4.7575555,-1.8726757,0,0,0,0
86,4.9754601,0,2,2,.086394891,.081851505,.090938278,.12349684,.23901524,.12988831,.077780642,.068612464,.1153731,.094538532,.048881918,.07239572,.12132131,.084287323,.085748754,1,1,4.7575555,.21790457,0,.21790457,0,.21790457
87,5.0717487,0,1,1,.08034043,.070228383,.090452485,.13581772,.24289481,.15835203,.087213442,.053501982,.073303565,.07373403,.08037395,.080081679,.099213064,.085414737,.097100444,0,0,4.7575555,.31419325,0,0,0,0
88,3.9395349,0,1,1,.08178097,.075181119,.088380821,.14736967,.22004163,.12005905,.13035917,.081590474,.06083893,.089974627,.068320461,.084623039,.096062861,.081894122,.090943269,0,0,4.7575555,-.81802058,0,0,0,0
93,4.1454544,0,1,1,.099632628,.081782639,.11748262,.14791082,.2699641,.12339899,.11133279,.080170795,.07970015,.084905587,.082354017,.11050139,.10585319,.12758316,.12599275,0,0,4.7575555,-.61210108,0,0,0,0
94,4.7324157,0,1,1,.079112127,.081803866,.076420382,.12414391,.17612171,.076700054,.12244367,.070980512,.12307487,.080942571,.052217506,.051845968,.063431725,.1440651,.046338744,0,0,4.7575555,-.025139809,0,0,0,0
95,5.8000002,0,1,1,.074647315,.052042145,.097252488,.13439944,.22553088,.17730458,.084135734,.042258907,.0607436,.047507931,.057658151,.085397564,.063918158,.11328022,.126414,0,0,4.7575555,1.0424447,0,0,0,0
96,5.9904761,0,1,1,.10516147,.099233352,.11108959,.13869295,.18356894,.15334691,.11636921,.12828416,.11060795,.083469592,.074571706,.12604313,.043776594,.11565125,.15888739,0,0,4.7575555,1.2329206,0,0,0,0
97,4.9277391,1,1,1,.095222943,.078633748,.11181214,.1698699,.22938654,.28495649,.1043937,.089213267,.091603659,.064385116,.069332942,.090096466,.16226944,.072498582,.12238407,0,0,4.7575555,.17018366,0,0,0,0
99,5.0589433,1,1,1,.084498078,.071141154,.097854994,.15351707,.16678247,.17156512,.14177452,.082446672,.075286567,.055385303,.071446083,.078277647,.068461418,.095510162,.14917074,0,0,4.7575555,.30138779,0,0,0,0
100,5.6310272,0,1,1,.10665677,.10769653,.10561702,.11328698,.21617964,.11531226,.073942758,.14902188,.096295357,.078618459,.10685039,.12614171,.048638348,.092370346,.15531768,0,0,4.7575555,.87347174,0,0,0,0
101,5.0563064,0,1,1,.10622355,.11125201,.1011951,.18520935,.15070613,.23063758,.18111245,.13687913,.10182936,.054803602,.15149596,.088145174,.05438045,.16741011,.094844662,0,0,4.7575555,.29875088,0,0,0,0
102,5.8617511,0,1,1,.1070598,.10478654,.10933305,.12248672,.21930154,.22042149,.04945562,.11558942,.10593719,.092082657,.10553688,.092007965,.13194779,.11570453,.097671956,0,0,4.7575555,1.1041956,0,0,0,0
103,5.1253333,0,1,1,.11543483,.1018843,.12898536,.19430226,.37824687,.13357131,.14809713,.0911173,.11279438,.10440687,.099218622,.12825754,.10398009,.16211686,.12158693,0,0,4.7575555,.36777782,0,0,0,0
104,5.0410628,1,2,1,.11131106,.096872598,.12574951,.15280926,.20664704,.18781596,.11949258,.068018161,.13472335,.096901432,.087847456,.1293539,.15953737,.11176345,.10234337,1,0,4.7575555,.28350735,1,.28350735,0,0
105,4.1846156,1,1,1,.11163045,.085876957,.13738395,.15597123,.22190081,.22723843,.10452245,.055543348,.14220689,.0835649,.06219269,.23529314,.054697841,.19049306,.069051795,0,0,4.7575555,-.57293987,0,0,0,0
106,3.3499999,1,1,2,.091570303,.068896048,.11424456,.17060746,.29025155,.21133843,.11046681,.046992123,.10182831,.086475991,.040287767,.12207684,.10913577,.11736309,.10840253,1,1,4.7575555,-1.4075556,1,-1.4075556,1,-1.4075556
107,5.2048192,0,2,1,.097722955,.086027414,.1094185,.19957623,.20866667,.23590359,.18254454,.055648219,.11289307,.099520095,.07604827,.14133941,.11235118,.080100805,.10388261,1,0,4.7575555,.44726372,0,.44726372,0,0
108,5.0671463,0,1,1,.10176765,.098126121,.10540919,.1912864,.28466663,.25994244,.13052279,.099337302,.10446618,.1037273,.084973685,.1370106,.10708757,.063416608,.11412198,0,0,4.7575555,.30959082,0,0,0,0
109,5.800745,0,1,1,.10193578,.10782105,.096050523,.090177774,.090548046,.074512698,.095913321,.10017916,.098018706,.10950176,.12358455,.09605898,.10922062,.10049632,.078426167,0,0,4.7575555,1.0431895,0,0,0,0
110,3.7071428,0,1,1,.080064937,.087449186,.072680697,.13236438,.15699527,.23926271,.083040908,.095017917,.082946993,.082491085,.089340739,.088594116,.049802478,.081816159,.070510037,0,0,4.7575555,-1.0504127,0,0,0,0
111,3.9964726,1,1,1,.089828342,.1133785,.066278182,.13564266,.19862774,.128575,.11467364,.11417207,.1398184,.10292065,.096602887,.079290658,.081819549,.05554748,.048455048,0,0,4.7575555,-.76108289,0,0,0,0
112,5.0254631,1,1,2,.085577257,.092749484,.07840503,.15802146,.24858847,.22349095,.099507771,.098105133,.093741998,.10272908,.076421723,.10823274,.054339629,.080695905,.070351839,1,1,4.7575555,.26790762,1,.26790762,1,.26790762
113,4.5647669,1,1,1,.078515217,.081480935,.075549498,.11438799,.16544558,.14148654,.085079439,.070854157,.083265908,.081374861,.090428814,.073912568,.094842643,.063813202,.069629587,0,0,4.7575555,-.1927886,0,0,0,0
114,5.6259542,1,1,1,.09882237,.12041111,.077233627,.16662927,.2147693,.13755794,.1594785,.13574181,.1275443,.10720743,.11115091,.073672034,.057981756,.072229557,.10505116,0,0,4.7575555,.86839867,0,0,0,0
115,3.3014493,0,1,1,.12146083,.12391362,.11900803,.1859348,.18680763,.20395054,.17885157,.096981682,.12986793,.18101533,.08778958,.10368302,.077723429,.15969196,.13493374,0,0,4.7575555,-1.4561062,0,0,0,0
116,3.7939069,0,1,2,.097986571,.097510412,.098462731,.19804029,.27465391,.20300987,.1674466,.10971679,.1143145,.073431477,.09257888,.082767658,.12288199,.089263387,.098937891,1,1,4.7575555,-.96364856,0,-.96364856,0,-.96364856
117,5.9556842,0,1,1,.1074219,.10829508,.10654871,.15978451,.23310946,.15759854,.13310739,.12629963,.11080644,.060203917,.13587035,.094024509,.045901075,.11639006,.16987921,0,0,4.7575555,1.1981287,0,0,0,0
118,4.9329982,0,1,1,.13037099,.12770478,.13303721,.14063355,.20868701,.1740464,.10258368,.16324341,.12937437,.11412166,.10407967,.10075229,.11927805,.12000272,.19211575,0,0,4.7575555,.1754427,0,0,0,0
119,5.9566073,0,1,1,.097137131,.11436374,.079910524,.13075681,.11970542,.19657788,.11021819,.095069595,.10355888,.090484045,.16834246,.074708924,.11168228,.059706181,.073544696,0,0,4.7575555,1.1990519,0,0,0,0
120,5.6606059,1,1,1,.1056825,.11223672,.099128276,.16015418,.24395722,.19367006,.11615959,.11022846,.11013059,.11135995,.11722789,.092971563,.082684331,.096640535,.12421666,0,0,4.7575555,.90305042,0,0,0,0
121,5.875,1,2,2,.080358863,.070703469,.090014257,.15824856,.26869237,.19790958,.10195924,.059454996,.077250794,.071134925,.074973151,.088533968,.048929382,.11032083,.11227284,1,1,4.7575555,1.1174445,1,1.1174445,1,1.1174445
122,5.7615175,1,1,1,.11673741,.11452215,.11895266,.17115499,.089914575,.1946781,.19279899,.098539829,.14240384,.086629666,.13051528,.14245044,.11652134,.11525612,.10158277,0,0,4.7575555,1.003962,0,0,0,0
123,5.4059258,0,1,1,.14742634,.12933984,.16551283,.18288307,.26958448,.28530228,.11196284,.11808095,.11602194,.17701049,.10624599,.18022893,.19520676,.20854764,.078067966,0,0,4.7575555,.64837027,0,0,0,0
124,4.7586913,0,1,1,.10087308,.082734682,.11901148,.12865868,.15866698,.14397737,.11166105,.056762002,.063682958,.10958194,.10091183,.12154238,.087728746,.10512991,.16164489,0,0,4.7575555,.0011358261,0,0,0,0
125,4.6284151,0,1,1,.088253222,.083016254,.093490183,.13427638,.1335206,.11858989,.14044222,.11154413,.077504203,.071466215,.071550466,.11128108,.094485193,.11521052,.052983955,0,0,4.7575555,-.12914038,0,0,0,0
126,5.8541665,1,1,1,.13104892,.14147267,.12062518,.11194287,.045712933,.1496608,.12263487,.11836062,.17904592,.14208676,.12639739,.06726826,.11880723,.19069725,.10572798,0,0,4.7575555,1.096611,0,0,0,0
127,5.8653531,1,1,1,.088011138,.069605276,.10641699,.13769683,.24336314,.1486696,.093957186,.072948143,.11296444,.026706077,.065802447,.093147226,.10858846,.10406875,.11986353,0,0,4.7575555,1.1077976,0,0,0,0
128,3.9957805,1,1,1,.085826769,.10319281,.068460725,.12608345,.17658828,.11226434,.11232629,.094152845,.11394301,.10700574,.097669646,.078400724,.033601645,.097786084,.064054459,0,0,4.7575555,-.76177502,0,0,0,0
129,5.7938142,1,1,2,.10684065,.093447037,.12023426,.15246183,.20828478,.1942331,.11586398,.061208535,.15003054,.071232289,.091316804,.079600818,.12542461,.12147775,.15443385,1,1,4.7575555,1.0362587,1,1.0362587,1,1.0362587
130,5.5123153,1,2,2,.06961675,.056330852,.08290264,.13765566,.21802008,.16420075,.097564578,.054189719,.065910973,.055254545,.049968176,.075031817,.071635388,.10879814,.076145217,1,1,4.7575555,.75475979,1,.75475979,1,.75475979
131,2.8617022,0,1,1,.11632746,.099378154,.13327678,.25013816,.30379412,.32297179,.20270458,.089800395,.083606407,.11339313,.11071269,.17165312,.079209022,.16730651,.11493844,0,0,4.7575555,-1.8958533,0,0,0,0
132,4.7817111,0,1,1,.14100477,.16234922,.11966031,.16821417,.22335058,.20925924,.13214612,.20159122,.12072431,.12172449,.20535688,.098438397,.10305081,.13184549,.14530654,0,0,4.7575555,.024155617,0,0,0,0
133,3.8166666,0,1,1,.12031155,.12219433,.11842877,.20844108,.24168818,.237556,.18505532,.099972308,.09331201,.15508683,.14040621,.081680901,.15267043,.12350116,.11586256,0,0,4.7575555,-.94088888,0,0,0,0
134,2.9926741,1,1,2,.094220683,.084864691,.10357667,.16358609,.23254801,.14365175,.14520074,.10242455,.082518838,.088194311,.066321053,.14053796,.082583129,.10078064,.090404928,1,1,4.7575555,-1.7648814,1,-1.7648814,1,-1.7648814
135,5.241796,1,1,1,.076307036,.075777985,.076836094,.12134023,.24630794,.095093526,.08431986,.061411042,.12881398,.050727084,.062159844,.065440796,.075497977,.07744088,.088964716,0,0,4.7575555,.48424053,0,0,0,0
137,5.531579,0,1,1,.081697844,.08723598,.076159708,.14588536,.20646751,.14134237,.12487067,.099370763,.086035699,.083038509,.080498956,.050724115,.099590361,.054823793,.099500574,0,0,4.7575555,.77402353,0,0,0,0
138,5.2737522,0,1,1,.080033034,.10019684,.059869234,.19293277,.30947241,.19332017,.14908513,.073568329,.11723919,.12824415,.081735671,.09001518,.060733926,.063300878,.025426956,0,0,4.7575555,.51619673,0,0,0,0
139,4.2380953,1,1,1,.087728873,.08840315,.087054603,.20153317,.24454238,.16269715,.19996822,.08287999,.055426929,.1598601,.055445563,.091551341,.083765969,.11866761,.054233495,0,0,4.7575555,-.5194602,0,0,0,0
140,4.0637255,1,1,1,.093281507,.10028733,.086275697,.15522085,.23963626,.20012653,.10672545,.089340135,.081340007,.14424738,.086221777,.12125748,.058895156,.072171934,.092778206,0,0,4.7575555,-.69383001,0,0,0,0
141,5.1490517,1,1,1,.14747383,.13910657,.1558411,.14360753,.25594804,.19489004,.082248896,.16471143,.14054143,.091474392,.15969901,.17710577,.097891532,.11711757,.23124953,0,0,4.7575555,.39149618,0,0,0,0
143,5.8576217,0,1,1,.14916621,.15823816,.14009428,.22575122,.27728876,.25989255,.19362164,.17364709,.17745826,.13515334,.14669396,.12576345,.12874612,.13916102,.16670652,0,0,4.7575555,1.1000662,0,0,0,0
145,5.1172838,1,2,2,.10739118,.091215618,.12356675,.10837363,.14770174,.12957601,.085674703,.081507951,.084256887,.088536866,.11056075,.15584882,.11260375,.17246731,.053347103,1,1,4.7575555,.35972834,1,.35972834,1,.35972834
146,4.3988605,1,1,1,.13176206,.13959463,.12392949,.17794605,.22390136,.22595087,.142711,.12080013,.093798786,.21467564,.12910396,.15535678,.099609673,.092700519,.14805101,0,0,4.7575555,-.35869503,0,0,0,0
147,3.4569538,0,1,1,.10922669,.11901456,.099438809,.11332335,.14380474,.082028098,.11362854,.12019516,.10996497,.15239479,.093503349,.10424209,.099535607,.10754445,.086433098,0,0,4.7575555,-1.3006017,0,0,0,0
148,5.3333335,0,1,1,.063964017,.065868326,.062059704,.1483586,.1949411,.17937808,.11925787,.084309518,.059745252,.085817426,.033601094,.068314247,.047004711,.04301345,.089906417,0,0,4.7575555,.57577801,0,0,0,0
152,3.1096492,1,1,2,.1310173,.1428026,.11923201,.23403728,.27366522,.22883363,.22112817,.1253732,.17227083,.17703857,.09652777,.096249364,.15269472,.064108253,.16387571,1,1,4.7575555,-1.6479063,1,-1.6479063,1,-1.6479063
154,4.40873,0,2,1,.092181988,.1006441,.083719879,.1596953,.21380445,.21113212,.12011556,.098860532,.10682692,.08991342,.10697551,.074761108,.14590856,.05688943,.057320427,1,0,4.7575555,-.34882545,0,-.34882545,0,0
156,4.8739634,1,2,1,.094474979,.068437889,.12051207,.15308212,.28473055,.16369073,.099735722,.073343322,.056560505,.068767808,.075079925,.11844663,.13033842,.10791691,.12534633,1,0,4.7575555,.11640787,1,.11640787,0,0
159,4.0965519,0,1,2,.10384543,.10848535,.099205524,.17383678,.28052327,.19801328,.12476315,.11982813,.098940037,.11630435,.098868877,.13272658,.12000876,.080972835,.06311392,1,1,4.7575555,-.66100359,0,-.66100359,0,-.66100359
161,5.8285713,0,1,2,.085126072,.099039495,.071212642,.10371509,.065481424,.086503431,.12450708,.10814648,.11136125,.10461808,.072032176,.10099664,.060385499,.083975375,.039493069,1,1,4.7575555,1.0710158,0,1.0710158,0,1.0710158
163,5.4225354,1,1,2,.080059268,.079353742,.080764793,.12935036,.17622955,.14680286,.10522598,.086090162,.066201873,.05719462,.1079283,.082754299,.085947774,.062772244,.091584869,1,1,4.7575555,.66497993,1,.66497993,1,.66497993
164,4.7272725,0,1,1,.067251764,.081197083,.053306449,.076313071,.070432037,.093044631,.072244123,.08031065,.095631048,.081948176,.06689845,.041721322,.063059665,.053853527,.054591287,0,0,4.7575555,-.030282974,0,0,0,0
